cve_ent,entidad,cve_alc,alc,cve_col,colonia,clasif,SISTEMA,NOMBRE,LINEA,EST,CVE_EOD17,TIPO,ALCALDIAS,AÑO,CVE_EST
09,Ciudad de México,015,Cuauhtémoc,015-017,Juarez,Colonia,Metrobús,París,07,,,Servicio temporal,Cuauhtémoc,2023,
09,Ciudad de México,015,Cuauhtémoc,015-017,Juarez,Colonia,Metrobús,Reforma,07,,,Servicio temporal,Cuauhtémoc,2023,
09,Ciudad de México,015,Cuauhtémoc,015-017,Juarez,Colonia,Metrobús,Hamburgo,07,,,Servicio temporal,Cuauhtémoc,2023,
09,Ciudad de México,015,Cuauhtémoc,015-017,Juarez,Colonia,Metrobús,El Ahuehuete,07,,,Servicio temporal,Cuauhtémoc,2023,
09,Ciudad de México,015,Cuauhtémoc,015-017,Juarez,Colonia,Metrobús,El Ángel,07,,,Servicio temporal,Cuauhtémoc,2023,
09,Ciudad de México,015,Cuauhtémoc,015-017,Juarez,Colonia,Metrobús,La Diana,07,,,Servicio temporal,Cuauhtémoc,2023,
09,Ciudad de México,015,Cuauhtémoc,015-017,Juarez,Colonia,Metrobús,Chapultepec,07,,,Servicio temporal,Cuauhtémoc,2023,
09,Ciudad de México,016,Miguel Hidalgo,016-081,Tacubaya,Colonia,Metrobús,Alameda Tacubaya,07,,,Servicio temporal,Miguel Hidalgo,2023,
09,Ciudad de México,015,Cuauhtémoc,015-016,Hipodromo Condesa,Colonia,Metrobús,De La Salle,07,,,Servicio temporal,Cuauhtémoc / Miguel Hidalgo,2023,
09,Ciudad de México,016,Miguel Hidalgo,016-077,San Miguel Chapultepec I Seccion,Colonia,Metrobús,De La Salle,07,,,Servicio temporal,Miguel Hidalgo,2023,
09,Ciudad de México,015,Cuauhtémoc,015-009,Cuauhtemoc,Colonia,Metrobús,Chapultepec,07,,,Servicio temporal,Cuauhtémoc,2023,
09,Ciudad de México,015,Cuauhtémoc,015-009,Cuauhtemoc,Colonia,Metrobús,La Diana,07,,,Servicio temporal,Cuauhtémoc,2023,
09,Ciudad de México,015,Cuauhtémoc,015-009,Cuauhtemoc,Colonia,Metrobús,El Ángel,07,,,Servicio temporal,Cuauhtémoc,2023,
09,Ciudad de México,015,Cuauhtémoc,015-009,Cuauhtemoc,Colonia,Metrobús,El Ahuehuete,07,,,Servicio temporal,Cuauhtémoc,2023,
09,Ciudad de México,015,Cuauhtémoc,015-009,Cuauhtemoc,Colonia,Metrobús,Hamburgo,07,,,Servicio temporal,Cuauhtémoc,2023,
09,Ciudad de México,015,Cuauhtémoc,015-030,Tabacalera,Colonia,Metrobús,Reforma,07,,,Servicio temporal,Cuauhtémoc,2023,
09,Ciudad de México,015,Cuauhtémoc,015-030,Tabacalera,Colonia,Metrobús,París,07,,,Servicio temporal,Cuauhtémoc,2023,
09,Ciudad de México,017,Venustiano Carranza,017-025,Arpto Int De La Cd De Mex-Equipamiento,Colonia,Metrobús,Aeropuerto T1,04,41,,,Venustiano Carranza,,MB0441
09,Ciudad de México,017,Venustiano Carranza,017-025,Arpto Int De La Cd De Mex-Equipamiento,Colonia,Metrobús,Aeropuerto T2,04,42,,,Venustiano Carranza,,MB0442
09,Ciudad de México,015,Cuauhtémoc,015-005,Buenavista,Colonia,Metrobús,Delegación Cuauhtémoc,04,02,11121,Intermedia,Cuauhtémoc,2012,MB0402
09,Ciudad de México,015,Cuauhtémoc,015-005,Buenavista,Colonia,Metrobús,Delegación Cuauhtémoc,04,48,11121,Intermedia,Cuauhtémoc,2012,MB0448
09,Ciudad de México,015,Cuauhtémoc,015-005,Buenavista,Colonia,Metrobús,México Tenochtitlan,04,03,,Intermedia,Cuauhtémoc,,MB0403
09,Ciudad de México,015,Cuauhtémoc,015-030,Tabacalera,Colonia,Metrobús,México Tenochtitlan,04,49,,Intermedia,Cuauhtémoc,,MB0449
09,Ciudad de México,015,Cuauhtémoc,015-030,Tabacalera,Colonia,Metrobús,Plaza de la República,04,18,11142,Intermedia,Cuauhtémoc,2012,MB0418
09,Ciudad de México,015,Cuauhtémoc,015-030,Tabacalera,Colonia,Metrobús,Plaza de la República,04,60,11142,Intermedia,Cuauhtémoc,2012,MB0460
09,Ciudad de México,015,Cuauhtémoc,015-030,Tabacalera,Colonia,Metrobús,Amajac,04,19,11127,Transbordo,Cuauhtémoc,2012,MB0419
09,Ciudad de México,015,Cuauhtémoc,015-030,Tabacalera,Colonia,Metrobús,Amajac,04,70,11127,Transbordo,Cuauhtémoc,2012,MB0470
09,Ciudad de México,015,Cuauhtémoc,015-017,Juarez,Colonia,Metrobús,Defensoría Pública,04,61,,Intermedia,Cuauhtémoc,,MB0461
09,Ciudad de México,015,Cuauhtémoc,015-007,Centro,Colonia,Metrobús,Defensoría Pública,04,20,,Intermedia,Cuauhtémoc,,MB0420
09,Ciudad de México,015,Cuauhtémoc,015-007,Centro,Colonia,Metrobús,Vocacional 5,04,21,11152,Intermedia,Cuauhtémoc,2012,MB0421
09,Ciudad de México,015,Cuauhtémoc,015-007,Centro,Colonia,Metrobús,Vocacional 5,04,62,11152,Intermedia,Cuauhtémoc,2012,MB0462
09,Ciudad de México,015,Cuauhtémoc,015-007,Centro,Colonia,Metrobús,Juárez,04,22,11131,Transbordo,Cuauhtémoc,2012,MB0422
09,Ciudad de México,015,Cuauhtémoc,015-007,Centro,Colonia,Metrobús,Juárez,04,63,11131,Transbordo,Cuauhtémoc,2012,MB0463
09,Ciudad de México,015,Cuauhtémoc,015-007,Centro,Colonia,Metrobús,Mercados San Juan,04,23,,Intermedia,Cuauhtémoc,,MB0423
09,Ciudad de México,015,Cuauhtémoc,015-007,Centro,Colonia,Metrobús,Mercados San Juan,04,64,,Intermedia,Cuauhtémoc,,MB0464
09,Ciudad de México,015,Cuauhtémoc,015-007,Centro,Colonia,Metrobús,Eje Central,04,24,,Intermedia,Cuauhtémoc,,MB0424
09,Ciudad de México,015,Cuauhtémoc,015-007,Centro,Colonia,Metrobús,Eje Central,04,65,,Intermedia,Cuauhtémoc,,MB0465
09,Ciudad de México,015,Cuauhtémoc,015-007,Centro,Colonia,Metrobús,El Salvador,04,25,11124,Intermedia,Cuauhtémoc,2012,MB0425
09,Ciudad de México,015,Cuauhtémoc,015-007,Centro,Colonia,Metrobús,El Salvador,04,66,11124,Intermedia,Cuauhtémoc,2012,MB0466
09,Ciudad de México,015,Cuauhtémoc,015-007,Centro,Colonia,Metrobús,Isabel La Católica,04,26,11130,Intermedia,Cuauhtémoc,2012,MB0426
09,Ciudad de México,015,Cuauhtémoc,015-007,Centro,Colonia,Metrobús,Isabel La Católica,04,67,11130,Intermedia,Cuauhtémoc,2012,MB0467
09,Ciudad de México,015,Cuauhtémoc,015-007,Centro,Colonia,Metrobús,20 de Noviembre,04,44,,Intermedia,Cuauhtémoc,,MB0444
09,Ciudad de México,015,Cuauhtémoc,015-007,Centro,Colonia,Metrobús,Museo de la Ciudad,04,27,11139,Intermedia,Cuauhtémoc,2012,MB0427
09,Ciudad de México,015,Cuauhtémoc,015-007,Centro,Colonia,Metrobús,Pino Suárez,04,28,11141,Intermedia,Cuauhtémoc,2012,MB0428
09,Ciudad de México,015,Cuauhtémoc,015-007,Centro,Colonia,Metrobús,Las Cruces,04,30,11134,Intermedia,Cuauhtémoc,2012,MB0430
09,Ciudad de México,015,Cuauhtémoc,015-007,Centro,Colonia,Metrobús,San Pablo,04,46,,Intermedia,Cuauhtémoc,,MB0446
09,Ciudad de México,015,Cuauhtémoc,015-007,Centro,Colonia,Metrobús,La Merced,04,32,,Intermedia,Cuauhtémoc,,MB0432
09,Ciudad de México,015,Cuauhtémoc,015-007,Centro,Colonia,Metrobús,Mercado de Sonora Sur,04,47,,Intermedia,Cuauhtémoc,,MB0447
09,Ciudad de México,017,Venustiano Carranza,017-032,Del Parque,Colonia,Metrobús,Cecilio Robelo,04,34,11119,Intermedia,Venustiano Carranza,2012,MB0434
09,Ciudad de México,017,Venustiano Carranza,017-032,Del Parque,Colonia,Metrobús,Cecilio Robelo,04,71,11119,Intermedia,Venustiano Carranza,2012,MB0471
09,Ciudad de México,017,Venustiano Carranza,017-032,Del Parque,Colonia,Metrobús,Ing. Eduardo Molina,04,35,11122,Intermedia,Venustiano Carranza,2012,MB0435
09,Ciudad de México,017,Venustiano Carranza,017-032,Del Parque,Colonia,Metrobús,Hospital Balbuena,04,36,11129,Intermedia,Venustiano Carranza,2012,MB0436
