SIN ACENTOS,cruce falso,precio_m2,lista_airbnb,Cruce
10 de Mayo,#N/A,41526,10 De Abril,#N/A
19 de Mayo,#N/A,55648,12 De Diciembre,#N/A
20 de Noviembre,20 De Noviembre,41667,15 De Agosto,#N/A
2da Del Moral Del Pueblo Tetelpan,#N/A,71750,20 De Noviembre,20 de Noviembre
4 Arboles,4 Arboles,43804,24 De Abril,#N/A
5 de Diciembre Fovissste,#N/A,12470,2da Del Moral Del Pueblo Tetelpan,2da Del Moral Del Pueblo Tetelpan
5 de Mayo,5 De Mayo,27085,4 Arboles,4 Arboles
5to Tramo 20 De Noviembre,#N/A,25000,5to Tramo 20 De Noviembre,5to Tramo 20 De Noviembre
8 de Agosto,8 De Agosto,44571,8 De Agosto,8 de Agosto
8 de Agosto,8 De Agosto,34722,Abdias Garcia Soto,#N/A
Acacias,Acacias,55279,Abraham M Gonzalez,#N/A
Actipan,Actipan,40926,Acacias,Acacias
Adolfo Lopez Mateos,Adolfo Lopez Mateos,18215,Actipan,Actipan
Adolfo Lopez Mateos,Adolfo Lopez Mateos,20423,Adolfo Lopez Mateos,Adolfo Lopez Mateos
Adolfo Ruiz Cortinez,#N/A,37913,Adolfo Ruiz Cortinez,Adolfo Ruiz Cortinez
Aeronautica Militar,Aeronautica Militar,15009,Aeronautica Militar,Aeronautica Militar
Agricola Metropolitana,Agricola Metropolitana,23302,Agricola Oriental,Agricola Oriental
Agricola Oriental,Agricola Oriental,34042,Agricola Pantitlan,Agricola Pantitlan
Agricola Pantitlan,Agricola Pantitlan,20536,Aguilera,Aguilera
Agua Caliente,#N/A,14750,Ahuehuetes Anahuac,Ahuehuetes Anahuac
Aguilera,Aguilera,22281,Ajusco,Ajusco
Ahuehuetes Anahuac,Ahuehuetes Anahuac,52353,Alamos,Alamos
Ajusco,Ajusco,22517,Albert,Albert
Alamos,Alamos,15200,Alcantarilla,Alcantarilla
Albert,Albert,24644,Aldana,Aldana
Alborada,#N/A,44858,Alfonso Xiii,Alfonso XIII
Alcantarilla,Alcantarilla,33333,Algarin,Algarin
Aldana,Aldana,29417,Altavista,Altavista
Alfonso XIII,Alfonso Xiii,15649,Americas Unidas,Americas Unidas
Algarin,Algarin,29369,Ampl. Asturias,Ampl. Asturias
Alianza Popular Revolucionaria,Alianza Popular Revolucionaria,5256,Ampliacion Aviacion Civil,Ampliacion Aviacion Civil
Alvaro Obregon,#N/A,35053,Ampliacion Cosmopolita,Ampliacion Cosmopolita
Americas Unidas,Americas Unidas,29904,Ampliacion Daniel Garza,Ampliacion Daniel Garza
Ampliacion Alpes,Ampliacion Alpes,35542,Ampliacion Del Gas,Ampliacion Del Gas
Ampl. Asturias,#N/A,54042,Ampliacion Fuentes Del Pedregal,Ampliacion Fuentes del Pedregal
Ampliacion Aviacion Civil,Ampliacion Aviacion Civil,31429,Ampliacion Granada,Ampliacion Granada
Ampliacion Cosmopolita,Ampliacion Cosmopolita,69444,Ampliacion Lomas De San Bernabe,Ampliacion Lomas de San Bernabe
